ID,Pred,Season,WTeamID,LTeamID,WOE_avg,WDE_avg,LOE_avg,LDE_avg,adj_WOE,adj_WDE,adj_LOE,adj_LDE,WEM,LEM,WSeed,LSeed,SeedDiff,WLoc,Type,Pred_regressor
2014_3103_3107,0.47943996587257115,2014,3103,3107,97.47369919808098,92.0670135766686,91.1815953049929,80.86024425215909,96.87078978926861,92.64002499577008,90.61760479091396,81.36350640336634,5.406685621412379,10.321351052833805,13,15,-2,0,1,-0.024933204772043638
2014_3103_3113,0.2759239794506724,2014,3103,3113,97.47369919808098,92.0670135766686,89.34182304952755,85.71467608640911,96.87078978926861,92.64002499577008,88.78921217951688,86.24815150039326,5.406685621412379,3.6271469631184345,13,9,4,0,1,-4.6085351623830455
2014_3103_3119,0.5640979365023961,2014,3103,3119,97.47369919808098,92.0670135766686,88.67398247836758,85.7156106714012,96.87078978926861,92.64002499577008,88.12550243920926,86.24909190210353,5.406685621412379,2.958371806966383,13,13,0,0,1,0.9009048923656913
2014_3103_3124,0.015556099493164234,2014,3103,3124,97.47369919808098,92.0670135766686,109.4634744217901,77.73050818028177,96.87078978926861,92.64002499577008,108.78640399978761,78.21429131899271,5.406685621412379,31.732966241508322,13,2,11,0,1,-26.58761691696831
2014_3103_3140,0.32652153189879873,2014,3103,3140,97.47369919808098,92.0670135766686,98.01305576800551,84.7659518598529,96.87078978926861,92.64002499577008,97.40681024746878,85.29352255515144,5.406685621412379,13.24710390815261,13,12,1,0,1,-4.9892398772328015
2014_3103_3143,0.15361001790698472,2014,3103,3143,97.47369919808098,92.0670135766686,95.91072598368456,86.41528071861305,96.87078978926861,92.64002499577008,95.31748411867564,86.95311659177722,5.406685621412379,9.49544526507151,13,7,6,0,1,-9.757219514499976
2014_3103_3151,0.31265845134163517,2014,3103,3151,97.47369919808098,92.0670135766686,98.53351351452011,86.74412577604832,96.87078978926861,92.64002499577008,97.92404877818626,87.28400833201131,5.406685621412379,11.789387738471788,13,11,2,0,1,-5.53230045732651
2014_3103_3163,0.0076646727978491504,2014,3103,3163,97.47369919808098,92.0670135766686,114.56889892943174,68.8230070550498,96.87078978926861,92.64002499577008,113.86024964567514,69.25135122966131,5.406685621412379,45.74589187438194,13,1,12,0,1,-34.59581658421048
2014_3103_3169,0.6822354648376829,2014,3103,3169,97.47369919808098,92.0670135766686,84.90586142302203,90.88967574151275,96.87078978926861,92.64002499577008,84.38068854935042,91.4553595847814,5.406685621412379,-5.983814318490715,13,16,-3,0,1,9.059826668109078
2014_3103_3173,0.12905517839854946,2014,3103,3173,97.47369919808098,92.0670135766686,98.67768470653155,84.80249986191927,96.87078978926861,92.64002499577008,98.06732822022967,85.33029802655471,5.406685621412379,13.875184844612278,13,6,7,0,1,-13.085999780134745
